"Source","Target","Weight"
"متخلفه","معندهاش دم","0.56315"
"اهنيك","نشكرك","0.60773"
"اهنيك","احييك","0.68731"
"ينصرك","ينصره","0.72153"
"ينصرك","يقويكي","0.67709"
"ينصرك","يحمي","0.64990"
"ينصرك","يمهل و لا يهمل","0.65000"
"ينصرك","يحيك","0.67295"
"ينصرك","يحيه","0.55612"
"ينصرك","يكرمك","0.60375"
"ينصرك","يعفو","0.57578"
"ينصرك","ينصرهم","0.74441"
"ينصرك","حفظ","0.61228"
"ينصرك","يعزك","0.66449"
"ينصرك","يحرسك","0.64335"
"ينصرك","يحفظك","0.59554"
"ينصرك","يخلف","0.56329"
"ينصرك","يرحمك","0.62216"
"ينصرك","يرحمه","0.69592"
"ينصرك","يشفيك","0.60345"
"ينصرك","رحم","0.63419"
"ينصرك","اتقي","0.58224"
"ينصرك","يخليك","0.63618"
"ينصرك","يسامح","0.68339"
"ينصرك","ينور","0.64469"
"ينصرك","ينصر","0.61290"
"ينصرك","يسعدك","0.56374"
"ينصرك","يخرب بيوتكم","0.58026"
"ينصرك","ينتقم","0.61524"
"ينصرك","يصبرك","0.73800"
"ينصرك","يهديك","0.55712"
"ينصرك","اياكم","0.55128"
"ينصرك","يحميك","0.67764"
"ينصره","يقويكي","0.60973"
"ينصره","يحمي","0.60404"
"ينصره","يمهل و لا يهمل","0.62355"
"ينصره","يحيك","0.60781"
"ينصره","يعفو","0.55083"
"ينصره","ينصرهم","0.68314"
"ينصره","حفظ","0.57820"
"ينصره","يعزك","0.60438"
"ينصره","يحرسك","0.56418"
"ينصره","يرحمك","0.56814"
"ينصره","يرحمه","0.64806"
"ينصره","رحم","0.59778"
"ينصره","يخليك","0.55077"
"ينصره","يسامح","0.64178"
"ينصره","ينور","0.58611"
"ينصره","ينصر","0.59040"
"ينصره","يخرب بيوتكم","0.55125"
"ينصره","ينتقم","0.56878"
"ينصره","يصبرك","0.62158"
"ينصره","يحميك","0.58236"
"الحمدالله","الحمد الله","0.63297"
"الحمدالله","الحمد","0.67489"
"الحمدالله","الحمد لله","0.73173"
"شكر","الف شكر","0.59840"
"يخدك","يكرمه","0.66570"
"يخدك","ياخدك","0.65991"
"يقويكي","يحمي","0.63785"
"يقويكي","يمهل و لا يهمل","0.58402"
"يقويكي","يحيك","0.56342"
"يقويكي","يكرمك","0.72034"
"يقويكي","يكرمه","0.66199"
"يقويكي","ينصرهم","0.59828"
"يقويكي","يعزك","0.60200"
"يقويكي","يحرسك","0.57851"
"يقويكي","ياخدك","0.71592"
"يقويكي","يرحمه","0.61728"
"يقويكي","يخليك","0.68114"
"يقويكي","يسامح","0.58907"
"يقويكي","يهدي","0.66629"
"يقويكي","ينور","0.55969"
"يقويكي","يسعدك","0.63351"
