"Source","Target","Weight"
"ابداع","روعه","0.52392"
"ابداع","ماشاء الله","0.58331"
"ابن المرة","ابن المره","0.67728"
"ابن المرة","بيشتم","0.54845"
"ابن المرة","مين ده","0.54033"
"ابن المره","مش فاهم حاجه","0.51395"
"ابن المره","مش كفايه","0.50381"
"ابن المره","مين ده","0.56110"
"ابو جهل","جهل","0.56947"
"ابيح","نفيس","0.54919"
"ابيح","فاضي","0.59694"
"ابيح","سليم","0.65629"
"اتبسط","استهبل","0.58233"
"اتبسط","عندك حق","0.63769"
"اتبسط","تعجبني","0.50695"
"اتبسط","مكسوف","0.51767"
"اتبسط","معك حق","0.58677"
"اتبسط","بحترمك","0.68492"
"اتبسط","معفن","0.50501"
"اتبسط","بحبها","0.57043"
"اتبسط","كويس","0.59385"
"اتبسط","خايف","0.51785"
"اتبسط","جامد","0.54910"
"اتبسط","زي العسل","0.55427"
"اتبسط","انا معاك","0.52751"
"اتبسط","مستمتع","0.53478"
"اتبسط","معاك حق","0.56239"
"اتغلب","اهنيك","0.56969"
"اتغلب","نشكرك","0.66051"
"اتغلب","مهل","0.62210"
"اتغلب","تطاول","0.51444"
"اتغلب","احييك","0.60974"
"اتغلب","يتحسر","0.61938"
"اتغلب","يتطاول","0.61068"
"اتغلب","تجبر","0.52405"
"اتغلب","هواهم","0.55394"
"اتغلب","يشدد","0.50977"
"اتغلب","نوافق","0.58653"
"اتغلب","احيك","0.50219"
"اتغلب","توافق","0.54828"
"اتغلب","يعترض","0.55036"
"اتغلب","استيلاء","0.57010"
"اتغلب","تعترض","0.54337"
"اتغلب","تتطاول","0.55881"
"اتغلب","اعترض","0.58165"
"اتغلب","نعترض","0.60774"
"اتق الله","اتقي الله","0.73782"
"اتق الله","اتقى الله","0.54721"
"اتق الله","اتقي","0.69129"
"اتقو الله","يحفظ","0.52805"
"اتقو الله","حفظ","0.53385"
"اتقى الله","اتقي الله","0.53394"
"اتقى الله","اتقي","0.55845"
"اتقي","ينصرك","0.65675"
"اتقي","ينصره","0.64691"
"اتقي","نفع","0.57114"
"اتقي","يقويكي","0.57733"
"اتقي","يحمي","0.64968"
"اتقي","يمهل و لا يهمل","0.70408"
